q1,q2,q3,energy,angular_momentum,lrl_x,lrl_y
6.829907417297363,7.6763596534729,6.702394962310791,-11.594198,-17.953773,48.16393,14.343532
6.615293502807617,7.662380218505859,6.4619598388671875,-14.654575,-17.429161,-31.71373,9.530531
6.9406232833862305,7.952444076538086,6.800212383270264,-14.351915,-18.322645,-16.692036,-9.216377
3.137312889099121,3.7560739517211914,2.9573371410369873,-17.22498,-8.786274,-25.60427,81.76146
-3.4152519702911377,4.057262420654297,-3.6094372272491455,-14.200872,9.235529,-71.27661,49.97116
-6.943523406982422,7.925282001495361,-7.027481555938721,-13.02408,17.619074,26.62983,-34.70841
7.350759983062744,8.20068359375,7.227858543395996,-8.4607315,-19.494,50.812317,-31.42743
6.845151424407959,8.007899284362793,6.672863006591797,-8.65875,-18.079071,-65.09816,-10.097332
14.210445404052734,15.478997230529785,13.86502456665039,7.154603,-40.28193,-140.86392,115.65446
-5.230068206787109,6.181856155395508,-5.35098934173584,-16.18872,13.679302,-53.333416,-33.120537
-5.743059158325195,6.6580281257629395,-5.861483573913574,-17.636536,14.895172,-3.248,46.513985
5.5053629875183105,6.375786304473877,5.3827009201049805,-21.094294,-14.732389,-0.2585565,-29.037605
7.412693500518799,8.397466659545898,7.305881023406982,-7.966048,-19.76329,5.1943755,-61.238396
-5.52338981628418,6.509204387664795,-5.621036052703857,-13.838562,14.035217,32.08124,-59.319054
5.27047061920166,6.233348369598389,5.130044937133789,-16.217398,-14.16882,-46.64811,-36.228344
-6.022846221923828,6.999556064605713,-6.126736640930176,-17.618092,15.590468,-31.15487,-21.558567
-7.234977722167969,8.181646347045898,-7.325173854827881,-10.695951,18.795662,-9.65368,48.47203
-7.584563732147217,8.554295539855957,-7.603363037109375,-4.1732283,18.799343,83.60724,-7.74977
-10.907462120056152,11.820548057556152,-10.954045295715332,-3.3596828,28.732403,36.06778,-56.142105
3.720750093460083,4.486169338226318,3.5396788120269775,-17.944218,-10.174295,-38.568535,69.263466
-13.626970291137695,15.242833137512207,-13.60350513458252,4.1732254,40.926144,-103.18213,-115.46997
-5.150270462036133,6.137742042541504,-5.250306129455566,-11.708282,13.134309,30.474817,-70.93442
